bot,labels
"Hello, nice to meet you",15
Happy to have you here,15
Good to see you again,15
"Hi there, how can I help?",15
"Hi, I'm  your CounselBot",19
I'm CounselBot ,19
Call me CounselBot,19
Have a lovely time!,9
Have a wonderful day,9
Suite yourself,9
Have fun!,9
Happy to help!,16
Any time!,16
My pleasure,16
Do enjoy the game,16
Have fun on tennis court,16
"Sorry, kindly rephrase the question",7
"Sorry, can't understand you",7
Please give me more information,7
Not sure I understand,7
I can guide you through how to get started with your career,13
"I know quiet some things about career selection, choices, scope and many more",2
"I know some of the most selected fields like science and humanities, engineering and performing arts to mention a few",2
Ask me a question about career choices and I will answer to the best of my knowledge,2
"As of January 2020, the top career paths are Science, Maths, Engineering, Life science, Business, Accounting, Law and performing arts",18
"The general sub streams in science are biology, physics, chemistry, computer science, biochemistry, biophysics, agriculture, environmental science, hospitality, animation and many more.",0
"The general sub streams in arts are visual communication, journalism, interior design, english literature, psychology, sociology, foreign languages and many more.",1
"The general sub streams in commerce are accounting, economics, finance, information science, human resource, management, tourism and many more.",6
"The job oppurtunities in civil services are IAS, IPS, IFS, audit and accounting, postal service, armed forces section officer, corporate law service and many more.",5
"The branches in engineering are computer science, biotechnology, electronics and communication, chemical, civil, aerospace, electric and electronics, bioinformatics and many more.",10
"Your results will be displayed in a detailed manner once you take the test. It will have a list of all the possible career choices you have an aptitude for, branches and job oppurtunities in the same.",14
It's never too late to change your career if you do not see yourself thriving in that field. Taking our career guidance test would help you streamline your choices and make the right decision.,4
The results will be followed by contacts of a few experts in the field of psychology. You can contact them for further support.,12
"The test comprises of forty multiple choice questions which include questions based on general aptitude, analytical and logical reasoning, area of interest and personality.",11
"Yes, you can switch streams despite picking the one you thought was right. It's never too late. Take our personality test to find out what your strengths are and choose the stream you love!",3
"It's not necessary for you to spend more time in order to succeed in your choice of career. Your interests, strengths and attitude towards learning is what matters.",17
"The only way to choose a job with no dead-end is to start off with a wide spectrum of choices. All disciples are interconnected. Unless you stick to one particular choice from the beginning without leaving room for other options, you will not be stuck in a career with no way out. ",8
